Benchmark                                                           (capacity)  (initialSize)  (iterations)  (preallocateSize)  Mode  Cnt      Score       Error  Units
ArrayQueueBenchmark.Enqueueing.enqueue                                    4096            N/A           N/A                N/A  avgt   10      4.685 ±     0.300  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                    8192            N/A           N/A                N/A  avgt   10      9.275 ±     0.277  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                   16384            N/A           N/A                N/A  avgt   10     23.020 ±     0.907  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                   32768            N/A           N/A                N/A  avgt   10     47.426 ±     1.057  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                   65536            N/A           N/A                N/A  avgt   10     97.570 ±     3.489  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                  131072            N/A           N/A                N/A  avgt   10    198.518 ±     5.033  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                  524288            N/A           N/A                N/A  avgt   10    837.045 ±    39.685  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                 1048576            N/A           N/A                N/A  avgt   10   1715.204 ±    41.855  us/op
ArrayQueueBenchmark.Enqueueing.enqueue                                 2097152            N/A           N/A                N/A  avgt   10   3451.377 ±   158.628  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                     4096            N/A           N/A                N/A  avgt   10      6.890 ±     0.259  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                     8192            N/A           N/A                N/A  avgt   10     13.555 ±     0.156  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                    16384            N/A           N/A                N/A  avgt   10     27.281 ±     0.889  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                    32768            N/A           N/A                N/A  avgt   10     54.653 ±     2.444  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                    65536            N/A           N/A                N/A  avgt   10    107.756 ±     2.219  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                   131072            N/A           N/A                N/A  avgt   10    217.843 ±     8.186  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                   524288            N/A           N/A                N/A  avgt   10    858.192 ±    21.869  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                  1048576            N/A           N/A                N/A  avgt   10   1746.767 ±    38.274  us/op
ArrayQueueBenchmark.EnqueueingDequeueing.enqueueDeque                  2097152            N/A           N/A                N/A  avgt   10   3537.979 ±   250.279  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A               4096  avgt   10     11.305 ±     0.165  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A               8192  avgt   10     22.617 ±     0.382  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A              16384  avgt   10     45.060 ±     0.587  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A              32768  avgt   10     91.382 ±     2.556  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A              65536  avgt   10    158.967 ±    23.140  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A             131072  avgt   10    294.106 ±     6.301  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A             524288  avgt   10   1205.844 ±   151.955  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A            1048576  avgt   10   2339.989 ±    46.252  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A            2097152  avgt   10   4711.675 ±   174.449  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A               4096  avgt   10     14.695 ±     0.576  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A               8192  avgt   10     41.708 ±     2.115  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A              16384  avgt   10     83.574 ±     3.074  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A              32768  avgt   10    131.544 ±     4.242  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A              65536  avgt   10    265.066 ±     6.596  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A             131072  avgt   10    542.370 ±    12.115  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A             524288  avgt   10   2274.883 ±    73.928  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A            1048576  avgt   10   4611.487 ±   128.211  us/op
BitAndResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A            2097152  avgt   10   9284.287 ±   441.584  us/op
